project,file1,file2,label
awaitility,awaitility-kotlin/pom.xml,changelog.txt,1
awaitility,awaitility-groovy/pom.xml,awaitility-kotlin/pom.xml,1
awaitility,awaitility-groovy/pom.xml,awaitility-osgi-test/pom.xml,1
awaitility,awaitility-groovy/pom.xml,awaitility-scala/pom.xml,1
awaitility,awaitility-groovy/pom.xml,awaitility-test-support/pom.xml,1
awaitility,awaitility-groovy/pom.xml,awaitility/pom.xml,1
awaitility,awaitility-groovy/pom.xml,pom.xml,1
awaitility,awaitility-kotlin/pom.xml,awaitility-osgi-test/pom.xml,1
awaitility,awaitility-kotlin/pom.xml,awaitility-scala/pom.xml,1
awaitility,awaitility-kotlin/pom.xml,awaitility-test-support/pom.xml,1
awaitility,awaitility-kotlin/pom.xml,awaitility/pom.xml,1
awaitility,awaitility-kotlin/pom.xml,pom.xml,1
awaitility,awaitility-osgi-test/pom.xml,awaitility-scala/pom.xml,1
awaitility,awaitility-osgi-test/pom.xml,awaitility-test-support/pom.xml,1
awaitility,awaitility-osgi-test/pom.xml,awaitility/pom.xml,1
awaitility,awaitility-osgi-test/pom.xml,pom.xml,1
awaitility,awaitility-scala/pom.xml,awaitility-test-support/pom.xml,1
awaitility,awaitility-scala/pom.xml,awaitility/pom.xml,1
awaitility,awaitility-scala/pom.xml,pom.xml,1
awaitility,awaitility-test-support/pom.xml,awaitility/pom.xml,1
awaitility,awaitility-test-support/pom.xml,pom.xml,1
awaitility,awaitility/pom.xml,pom.xml,1
awaitility,awaitility-scala/pom.xml,changelog.txt,1
awaitility,awaitility-groovy/pom.xml,awaitility-kotlin/pom.xml,1
awaitility,awaitility-groovy/pom.xml,awaitility-osgi-test/pom.xml,1
awaitility,awaitility-groovy/pom.xml,awaitility-scala/pom.xml,1
awaitility,awaitility-groovy/pom.xml,awaitility-test-support/pom.xml,1
awaitility,awaitility-groovy/pom.xml,awaitility/pom.xml,1
awaitility,awaitility-groovy/pom.xml,pom.xml,1
awaitility,awaitility-kotlin/pom.xml,awaitility-osgi-test/pom.xml,1
awaitility,awaitility-kotlin/pom.xml,awaitility-scala/pom.xml,1
awaitility,awaitility-kotlin/pom.xml,awaitility-test-support/pom.xml,1
awaitility,awaitility-kotlin/pom.xml,awaitility/pom.xml,1
awaitility,awaitility-kotlin/pom.xml,pom.xml,1
awaitility,awaitility-osgi-test/pom.xml,awaitility-scala/pom.xml,1
awaitility,awaitility-osgi-test/pom.xml,awaitility-test-support/pom.xml,1
awaitility,awaitility-osgi-test/pom.xml,awaitility/pom.xml,1
awaitility,awaitility-osgi-test/pom.xml,pom.xml,1
awaitility,awaitility-scala/pom.xml,awaitility-test-support/pom.xml,1
awaitility,awaitility-scala/pom.xml,awaitility/pom.xml,1
awaitility,awaitility-scala/pom.xml,pom.xml,1
awaitility,awaitility-test-support/pom.xml,awaitility/pom.xml,1
awaitility,awaitility-test-support/pom.xml,pom.xml,1
awaitility,awaitility/pom.xml,pom.xml,1
awaitility,awaitility/src/main/java/org/awaitility/Awaitility.java,awaitility/src/main/java/org/awaitility/core/ConditionAwaiter.java,1
awaitility,awaitility/src/main/java/org/awaitility/Awaitility.java,awaitility/src/main/java/org/awaitility/core/ConditionFactory.java,1
awaitility,awaitility/src/main/java/org/awaitility/Awaitility.java,awaitility/src/main/java/org/awaitility/core/FailFastCondition.java,1
awaitility,awaitility/src/main/java/org/awaitility/Awaitility.java,awaitility/src/main/java/org/awaitility/core/TerminalFailureException.java,1
awaitility,awaitility/src/main/java/org/awaitility/Awaitility.java,awaitility/src/test/java/org/awaitility/FailFastTest.java,1
awaitility,awaitility/src/main/java/org/awaitility/Awaitility.java,changelog.txt,1
awaitility,awaitility/src/main/java/org/awaitility/core/ConditionAwaiter.java,awaitility/src/main/java/org/awaitility/core/ConditionFactory.java,1
awaitility,awaitility/src/main/java/org/awaitility/core/ConditionAwaiter.java,awaitility/src/main/java/org/awaitility/core/FailFastCondition.java,1
awaitility,awaitility/src/main/java/org/awaitility/core/ConditionAwaiter.java,awaitility/src/main/java/org/awaitility/core/TerminalFailureException.java,1
awaitility,awaitility/src/main/java/org/awaitility/core/ConditionAwaiter.java,awaitility/src/test/java/org/awaitility/FailFastTest.java,1
awaitility,awaitility/src/main/java/org/awaitility/core/ConditionAwaiter.java,changelog.txt,1
awaitility,awaitility/src/main/java/org/awaitility/core/ConditionFactory.java,awaitility/src/main/java/org/awaitility/core/FailFastCondition.java,1
awaitility,awaitility/src/main/java/org/awaitility/core/ConditionFactory.java,awaitility/src/main/java/org/awaitility/core/TerminalFailureException.java,1
awaitility,awaitility/src/main/java/org/awaitility/core/ConditionFactory.java,awaitility/src/test/java/org/awaitility/FailFastTest.java,1
awaitility,awaitility/src/main/java/org/awaitility/core/ConditionFactory.java,changelog.txt,1
awaitility,awaitility/src/main/java/org/awaitility/core/FailFastCondition.java,awaitility/src/main/java/org/awaitility/core/TerminalFailureException.java,1
awaitility,awaitility/src/main/java/org/awaitility/core/FailFastCondition.java,awaitility/src/test/java/org/awaitility/FailFastTest.java,1
awaitility,awaitility/src/main/java/org/awaitility/core/FailFastCondition.java,changelog.txt,1
awaitility,awaitility/src/main/java/org/awaitility/core/TerminalFailureException.java,awaitility/src/test/java/org/awaitility/FailFastTest.java,1
awaitility,awaitility/src/main/java/org/awaitility/core/TerminalFailureException.java,changelog.txt,1
awaitility,awaitility/src/test/java/org/awaitility/FailFastTest.java,changelog.txt,1
awaitility,awaitility-kotlin/pom.xml,changelog.txt,1
awaitility,awaitility-groovy/pom.xml,awaitility-scala/pom.xml,1
awaitility,awaitility-groovy/pom.xml,awaitility/pom.xml,1
awaitility,awaitility-groovy/pom.xml,awaitility/src/main/java/org/awaitility/core/JavaVersionDetector.java,1
awaitility,awaitility-groovy/pom.xml,awaitility/src/main/java/org/awaitility/core/LambdaErrorMessageGenerator.java,1
awaitility,awaitility-groovy/pom.xml,awaitility/src/test/java/org/awaitility/UsingAtomicTest.java,1
awaitility,awaitility-groovy/pom.xml,changelog.txt,1
awaitility,awaitility-groovy/pom.xml,pom.xml,1
awaitility,awaitility-scala/pom.xml,awaitility/pom.xml,1
awaitility,awaitility-scala/pom.xml,awaitility/src/main/java/org/awaitility/core/JavaVersionDetector.java,1
awaitility,awaitility-scala/pom.xml,awaitility/src/main/java/org/awaitility/core/LambdaErrorMessageGenerator.java,1
awaitility,awaitility-scala/pom.xml,awaitility/src/test/java/org/awaitility/UsingAtomicTest.java,1
awaitility,awaitility-scala/pom.xml,changelog.txt,1
awaitility,awaitility-scala/pom.xml,pom.xml,1
awaitility,awaitility/pom.xml,awaitility/src/main/java/org/awaitility/core/JavaVersionDetector.java,1
